time_iso8601,stars_cumulative
2024-01-25 00:00:00+00:00,1520
2024-01-26 00:00:00+00:00,1524
2024-01-27 00:00:00+00:00,1526
2024-01-28 00:00:00+00:00,1527
2024-01-29 00:00:00+00:00,1531
2024-01-30 00:00:00+00:00,1535
2024-01-31 00:00:00+00:00,1538
2024-02-01 00:00:00+00:00,1541
2024-02-02 00:00:00+00:00,1543
2024-02-03 00:00:00+00:00,1550
2024-02-04 00:00:00+00:00,1556
2024-02-05 00:00:00+00:00,1561
2024-02-06 00:00:00+00:00,1572
2024-02-07 00:00:00+00:00,1576
2024-02-08 00:00:00+00:00,1580
2024-02-09 00:00:00+00:00,1582
2024-02-11 00:00:00+00:00,1585
2024-02-12 00:00:00+00:00,1591
2024-02-13 00:00:00+00:00,1598
2024-02-14 00:00:00+00:00,1601
2024-02-15 00:00:00+00:00,1609
2024-02-16 00:00:00+00:00,1614
2024-02-17 00:00:00+00:00,1619
2024-02-18 00:00:00+00:00,1623
2024-02-19 00:00:00+00:00,1628
2024-02-20 00:00:00+00:00,1632
2024-02-21 00:00:00+00:00,1639
2024-02-22 00:00:00+00:00,1645
2024-02-23 00:00:00+00:00,1648
2024-02-24 00:00:00+00:00,1650
2024-02-25 00:00:00+00:00,1660
2024-02-26 00:00:00+00:00,1670
2024-02-27 00:00:00+00:00,1678
2024-02-28 00:00:00+00:00,1685
2024-02-29 00:00:00+00:00,1690
2024-03-01 00:00:00+00:00,1698
2024-03-02 00:00:00+00:00,1701
2024-03-03 00:00:00+00:00,1704
2024-03-04 00:00:00+00:00,1712
2024-03-05 00:00:00+00:00,1721
2024-03-06 00:00:00+00:00,1726
2024-03-08 00:00:00+00:00,1730
2024-03-09 00:00:00+00:00,1733
2024-03-10 00:00:00+00:00,1740
2024-03-11 00:00:00+00:00,1743
2024-03-12 00:00:00+00:00,1746
2024-03-13 00:00:00+00:00,1748
2024-03-14 00:00:00+00:00,1757
2024-03-15 00:00:00+00:00,1758
2024-03-16 00:00:00+00:00,1760
2024-03-17 00:00:00+00:00,1762
2024-03-18 00:00:00+00:00,1763
2024-03-19 00:00:00+00:00,1767
2024-03-20 00:00:00+00:00,1771
2024-03-21 00:00:00+00:00,1773
2024-03-22 00:00:00+00:00,1779
2024-03-23 00:00:00+00:00,1781
2024-03-24 00:00:00+00:00,1785
2024-03-25 00:00:00+00:00,1788
2024-03-26 00:00:00+00:00,1789
2024-03-28 00:00:00+00:00,1792
2024-03-29 00:00:00+00:00,1794
2024-03-30 00:00:00+00:00,1795
2024-03-31 00:00:00+00:00,1798
2024-04-01 00:00:00+00:00,1800
2024-04-04 00:00:00+00:00,1802
2024-04-05 00:00:00+00:00,1803
2024-04-07 00:00:00+00:00,1805
2024-04-08 00:00:00+00:00,1810
2024-04-09 00:00:00+00:00,1811
2024-04-11 00:00:00+00:00,1812
2024-04-12 00:00:00+00:00,1813
2024-04-13 00:00:00+00:00,1814
2024-04-15 00:00:00+00:00,1816
2024-04-16 00:00:00+00:00,1818
2024-04-17 00:00:00+00:00,1822
2024-04-18 00:00:00+00:00,1823
2024-04-19 00:00:00+00:00,1824
2024-04-20 00:00:00+00:00,1825
2024-04-22 00:00:00+00:00,1827
2024-04-23 00:00:00+00:00,1829
2024-04-26 00:00:00+00:00,1832
2024-04-28 00:00:00+00:00,1834
2024-04-29 00:00:00+00:00,1838
2024-04-30 00:00:00+00:00,1840
2024-05-01 00:00:00+00:00,1842
2024-05-02 00:00:00+00:00,1843
2024-05-03 00:00:00+00:00,1844
2024-05-04 00:00:00+00:00,1849
2024-05-05 00:00:00+00:00,1850
2024-05-06 00:00:00+00:00,1853
2024-05-07 00:00:00+00:00,1856
2024-05-08 00:00:00+00:00,1858
2024-05-09 00:00:00+00:00,1860
2024-05-10 00:00:00+00:00,1861
2024-05-13 00:00:00+00:00,1862
2024-05-14 00:00:00+00:00,1863
2024-05-15 00:00:00+00:00,1866
2024-05-16 00:00:00+00:00,1868
2024-05-17 00:00:00+00:00,1869
2024-05-18 00:00:00+00:00,1873
2024-05-19 00:00:00+00:00,1874
2024-05-21 00:00:00+00:00,1875
2024-05-22 00:00:00+00:00,1876
2024-05-23 00:00:00+00:00,1877
2024-05-24 00:00:00+00:00,1878
2024-05-25 00:00:00+00:00,1879
2024-05-27 00:00:00+00:00,1880
2024-05-28 00:00:00+00:00,1882
2024-05-29 00:00:00+00:00,1883
2024-05-30 00:00:00+00:00,1884
2024-05-31 00:00:00+00:00,1887
2024-06-01 00:00:00+00:00,1888
